companyName,companyLocationTotal,beanOriginTotal
Salgado,Argentina,Brazil
Salgado,Argentina,Ecuador
Salgado,Argentina,Venezuela
Salgado,Argentina,Ecuador
Atypic,Australia,Solomon islands
Bahen & Co.,Australia,Madagascar
Bahen & Co.,Australia,Brazil
Bahen & Co.,Australia,Blend
Bahen & Co.,Australia,Papua new guinea
Bahen & Co.,Australia,Blend
Bright,Australia,Dominican republic
Bright,Australia,Ecuador
Bright,Australia,Madagascar
Bright,Australia,Trinidad
Cravve,Australia,Papua new guinea
Cravve,Australia,Tanzania
Cravve,Australia,Brazil
Cravve,Australia,Fiji
Cravve,Australia,Vanuatu
Cravve,Australia,Vanuatu
Cravve,Australia,Papua new guinea
Daintree,Australia,Australia
Daintree,Australia,Australia
Matale,Australia,Madagascar
Matale,Australia,Papua new guinea
Matale,Australia,Blend
Matale,Australia,Vanuatu
Metiisto,Australia,Solomon islands
Metiisto,Australia,Solomon islands
"Smooth Chocolator, The",Australia,Ecuador
"Smooth Chocolator, The",Australia,Tanzania
"Smooth Chocolator, The",Australia,Trinidad
"Smooth Chocolator, The",Australia,Venezuela
"Smooth Chocolator, The",Australia,Madagascar
"Smooth Chocolator, The",Australia,Papua new guinea
"Smooth Chocolator, The",Australia,Madagascar
"Smooth Chocolator, The",Australia,Peru
"Smooth Chocolator, The",Australia,Bolivia
"Smooth Chocolator, The",Australia,Ecuador
"Smooth Chocolator, The",Australia,Venezuela
"Smooth Chocolator, The",Australia,Belize
"Smooth Chocolator, The",Australia,Australia
"Smooth Chocolator, The",Australia,Guatemala
"Smooth Chocolator, The",Australia,Vietnam
"Smooth Chocolator, The",Australia,Dominican republic
"Smooth Chocolator, The",Australia,Haiti
Spencer,Australia,Vanuatu
Spencer,Australia,Ecuador
Spencer,Australia,Madagascar
Spencer,Australia,Dominican republic
Zokoko,Australia,Bolivia
Zokoko,Australia,Bolivia
Zokoko,Australia,Papua new guinea
Zokoko,Australia,Solomon islands
Zokoko,Australia,Blend
Martin Mayer,Austria,Colombia
Martin Mayer,Austria,Haiti
Martin Mayer,Austria,Bolivia
Zart Pralinen,Austria,Madagascar
Zart Pralinen,Austria,Tanzania
Zart Pralinen,Austria,Trinidad
Zart Pralinen,Austria,Tanzania
Zart Pralinen,Austria,Ecuador
Zart Pralinen,Austria,Trinidad
Zotter,Austria,Brazil
Zotter,Austria,Peru
Zotter,Austria,India
Zotter,Austria,India
Zotter,Austria,Congo
Zotter,Austria,Dominican republic
Zotter,Austria,Dominican republic
Zotter,Austria,Panama
Zotter,Austria,Blend
Zotter,Austria,Peru
Zotter,Austria,Blend
Zotter,Austria,Bolivia
Zotter,Austria,Congo
Zotter,Austria,Peru
Zotter,Austria,Ecuador
Zotter,Austria,Papua new guinea
Zotter,Austria,Blend
Zotter,Austria,Colombia
Zotter,Austria,Belize
Zotter,Austria,Congo
Zotter,Austria,Blend
Belcolade,Belgium,Ecuador
Belcolade,Belgium,Costa rica
Belcolade,Belgium,Papua new guinea
Belcolade,Belgium,Peru
Benoit Nihant,Belgium,Indonesia
Benoit Nihant,Belgium,Madagascar
Benoit Nihant,Belgium,Ecuador
Benoit Nihant,Belgium,Cuba
Benoit Nihant,Belgium,Venezuela
Benoit Nihant,Belgium,Venezuela
Chocolatoa,Belgium,India
Darcis,Belgium,Vietnam
Darcis,Belgium,Peru
Dolfin (Belcolade),Belgium,Blend
Dolfin (Belcolade),Belgium,Blend
Frederic Blondeel,Belgium,Ghana
Frederic Blondeel,Belgium,Madagascar
Frederic Blondeel,Belgium,Costa rica
Frederic Blondeel,Belgium,Peru
Frederic Blondeel,Belgium,Vietnam
Legast,Belgium,Peru
Legast,Belgium,Costa rica
Legast,Belgium,Colombia
Mike & Becky,Belgium,Belize
Mike & Becky,Belgium,India
Mike & Becky,Belgium,Peru
Mike & Becky,Belgium,Dominican republic
Millesime,Belgium,Ecuador
Millesime,Belgium,India
Millesime,Belgium,Brazil
Neuhaus (Callebaut),Belgium,Venezuela
Neuhaus (Callebaut),Belgium,Sao tome
Neuhaus (Callebaut),Belgium,Blend
Neuhaus (Callebaut),Belgium,Blend
Neuhaus (Callebaut),Belgium,Trinidad
Neuhaus (Callebaut),Belgium,Papua new guinea
Pierre Marcolini,Belgium,Mexico
Pierre Marcolini,Belgium,Venezuela
Pierre Marcolini,Belgium,Indonesia
Pierre Marcolini,Belgium,Blend
Pierre Marcolini,Belgium,Madagascar
Pierre Marcolini,Belgium,Ecuador
Pierre Marcolini,Belgium,Blend
Pierre Marcolini,Belgium,Brazil
Pierre Marcolini,Belgium,Mexico
Pierre Marcolini,Belgium,Cuba
Pierre Marcolini,Belgium,Trinidad
Pierre Marcolini,Belgium,Venezuela
Pierre Marcolini,Belgium,Peru
Pierre Marcolini,Belgium,Cameroon
Pierre Marcolini,Belgium,Madagascar
Pierre Marcolini,Belgium,Cameroon
Zoto (Chocolatoa),Belgium,Nicaragua
Zoto (Chocolatoa),Belgium,Nicaragua
Zoto (Chocolatoa),Belgium,Nicaragua
Zoto (Chocolatoa),Belgium,Dr congo
El Ceibo,Bolivia,Bolivia
El Ceibo,Bolivia,Bolivia
AMMA,Brazil,Brazil
AMMA,Brazil,Brazil
AMMA,Brazil,Brazil
AMMA,Brazil,Brazil
AMMA,Brazil,Brazil
Baiani,Brazil,Brazil
Casa Lasevicius,Brazil,Brazil
Casa Lasevicius,Brazil,Brazil
De Mendes,Brazil,Brazil
De Mendes,Brazil,Brazil
Luisa Abram,Brazil,Brazil
Luisa Abram,Brazil,Brazil
Mestico,Brazil,Brazil
Mission,Brazil,Brazil
Mission,Brazil,Brazil
Mission,Brazil,Puerto rico
Nugali,Brazil,Brazil
Q Chocolate,Brazil,Brazil
Q Chocolate,Brazil,Brazil
Q Chocolate,Brazil,Brazil
Q Chocolate,Brazil,Brazil
