beanOrigin,originAmount
Brazil,73
Ecuador,193
Venezuela,238
Solomon islands,10
Madagascar,157
Blend (?),140
Papua new guinea,48
Dominican republic,200
Trinidad,38
Tanzania,63
Fiji,15
Vanuatu,12
Australia,3
Peru,207
Bolivia,71
Belize,65
Guatemala,53
Vietnam,64
Haiti,24
Colombia,65
India,20
Congo,11
Panama,8
Costa rica,42
Indonesia,17
Cuba,12
Ghana,32
Sao tome,14
Mexico,45
Cameroon,3
Nicaragua,92
Dr congo (?),1
Puerto rico,6
Uganda,10
Honduras,23
U.s.a.,28
Grenada,17
Jamaica,23
Philippines,19
El salvador,6
Burma,1
Togo,3
Sri lanka,2
Ivory coast,4
Gabon,1
Tobago,1
Sao tome & principe (?),1
St. lucia,9
Principe,1
Malaysia,7
Martinique,1
Sulawesi,1
Samoa,3
St.vincent-grenadines,1
Suriname,1
Taiwan,2
Sumatra,1
Thailand,5
Nigeria,2
Liberia,3
Sierra leone,3
Bolvia,1
